Timestamp,Sample,Mode,SenseWire,SourceMode,SourceSetpoint,Voltage_V,Current_A,Resistance_Ohm,Power_W,ComplianceLimit,ComplianceTrip,Elapsed_s,Status,Raw
"2026-08-26T04:13:02.186Z","a","time","4","VOLT","9","9","0.00402808","2234.3151079422455","0.03625272","1","false","3.181","4215812","+9.000000E+00,+4.028080E-03,+1.667667E+03,+4.215812E+06"
"2026-08-26T04:13:02.457Z","a","time","4","VOLT","9","9","0.003792547","2373.0754028888764","0.034132922999999996","1","false","3.452","4215812","+9.000000E+00,+3.792547E-03,+1.667937E+03,+4.215812E+06"
"2026-08-26T04:13:02.665Z","a","time","4","VOLT","9","9","0.003648884","2466.507567793331","0.032839956","1","false","3.66","4215812","+9.000000E+00,+3.648884E-03,+1.668136E+03,+4.215812E+06"
"2026-08-26T04:13:02.873Z","a","time","4","VOLT","9","9","0.00356283","2526.081794528507","0.03206547","1","false","3.868","4215812","+9.000000E+00,+3.562830E-03,+1.668347E+03,+4.215812E+06"
"2026-08-26T04:13:03.081Z","a","time","4","VOLT","9","9","0.003496798","2573.783215387334","0.031471182","1","false","4.076","4215812","+9.000000E+00,+3.496798E-03,+1.668540E+03,+4.215812E+06"
"2026-08-26T04:13:03.288Z","a","time","4","VOLT","9","9","0.003405787","2642.561029212925","0.030652083","1","false","4.283","4215812","+9.000000E+00,+3.405787E-03,+1.668747E+03,+4.215812E+06"
"2026-08-26T04:13:03.496Z","a","time","4","VOLT","9","9","0.003323564","2707.9364200599116","0.029912076000000003","1","false","4.491","4215812","+9.000000E+00,+3.323564E-03,+1.668954E+03,+4.215812E+06"
"2026-08-26T04:13:03.704Z","a","time","4","VOLT","9","9","0.003268514","2753.5448830875434","0.029416626","1","false","4.699","4215812","+9.000000E+00,+3.268514E-03,+1.669155E+03,+4.215812E+06"
"2026-08-26T04:13:03.912Z","a","time","4","VOLT","9","9","0.003212263","2801.7631183997078","0.028910367","1","false","4.907","4215812","+9.000000E+00,+3.212263E-03,+1.669353E+03,+4.215812E+06"
"2026-08-26T04:13:04.120Z","a","time","4","VOLT","9","9","0.003126579","2878.5455285153516","0.028139211","1","false","5.115","4215812","+9.000000E+00,+3.126579E-03,+1.669556E+03,+4.215812E+06"
"2026-08-26T04:13:04.327Z","a","time","4","VOLT","9","9","0.0030913","2911.39649985443","0.027821699999999998","1","false","5.322","4215812","+9.000000E+00,+3.091300E-03,+1.669762E+03,+4.215812E+06"
"2026-08-26T04:13:04.535Z","a","time","4","VOLT","9","9","0.003029336","2970.948088954147","0.027264024","1","false","5.53","4215812","+9.000000E+00,+3.029336E-03,+1.669972E+03,+4.215812E+06"
"2026-08-26T04:13:04.743Z","a","time","4","VOLT","9","9","0.002949715","3051.1422289950046","0.026547434999999998","1","false","5.738","4215812","+9.000000E+00,+2.949715E-03,+1.670177E+03,+4.215812E+06"
